"Month","DayofMonth","DayOfWeek","DepTime","UniqueCarrier","Origin","Dest","Distance","dep_delayed_15min"
"7","4","1",1835,"AS","SFO","SEA",679,"N"
"7","21","5",2341,"DL","SEA","CVG",1964,"N"
"10","9","7",1027,"NW","GTF","FCA",146,"N"
"10","20","5",1823,"XE","DCA","CLE",310,"N"
"11","15","3",2059,"FL","ATL","LGA",761,"Y"
"2","5","6",1045,"WN","HOU","MAF",441,"N"
"1","14","6",718,"NW","MKE","LAX",1756,"N"
"10","9","1",2135,"US","PHX","ONT",325,"N"
"2","11","6",1904,"OO","LNK","ORD",466,"Y"
"11","3","4",1508,"DH","IAD","CLT",321,"N"
"11","15","3",1036,"DL","SLC","DEN",391,"N"
"11","17","4",754,"AS","ANC","JNU",571,"N"
"5","12","5",1625,"XE","PNS","IAH",489,"N"
"2","10","5",1046,"B6","JFK","TPA",1005,"N"
"3","11","5",920,"EV","ATL","ABY",146,"N"
"10","13","5",1109,"MQ","SAN","SJC",417,"N"
"6","27","1",1739,"CO","ATL","IAH",689,"Y"
"2","20","7",1325,"UA","FLL","IAD",901,"Y"
"8","26","5",1050,"AA","DFW","JAX",919,"N"
"11","20","1",1748,"CO","IAD","IAH",1190,"N"
"10","14","6",1927,"UA","DEN","DSM",589,"N"
"5","10","3",825,"OH","CVG","BUF",410,"Y"
"4","1","6",1631,"US","BOS","CLT",728,"N"
"12","28","4",654,"AS","LGB","SEA",965,"N"
"4","28","5",2010,"AS","SJC","SEA",697,"N"
"6","12","1",1618,"WN","SAN","PHX",304,"Y"
"2","9","4",1640,"WN","PHX","SNA",338,"N"
"3","8","3",1534,"XE","EWR","PWM",284,"N"
"7","13","3",757,"CO","BDL","IAH",1507,"N"
"4","15","5",1405,"FL","MSP","ATL",906,"Y"
"12","25","1",1140,"WN","PHX","MSY",1301,"N"
"10","31","2",1630,"MQ","BOS","RDU",612,"N"
"5","4","4",1152,"NW","SAT","MEM",625,"N"
"8","6","7",1207,"XE","CVG","IAH",871,"N"
"1","24","1",2004,"FL","SAV","ATL",215,"Y"
"12","29","4",1551,"XE","IAH","SHV",192,"N"
"7","10","1",1713,"OO","OKC","SLC",866,"N"
"6","22","3",850,"WN","SJC","LAS",386,"Y"
"8","23","2",1040,"EV","ATL","FLO",273,"N"
"6","21","2",811,"EV","SHV","ATL",552,"Y"
"4","16","6",1707,"UA","AUS","DEN",775,"N"
"10","31","1",1553,"B6","LGB","IAD",2277,"N"
"10","14","5",1315,"AS","SAN","SEA",1050,"Y"
"9","17","6",642,"AA","ORD","FLL",1182,"Y"
"4","9","6",1251,"NW","PHX","DTW",1671,"N"
"4","23","6",1023,"OO","BOI","SFO",522,"Y"
"6","15","3",917,"FL","ATL","MKE",669,"N"
"12","14","3",1630,"WN","MDW","JAN",666,"Y"
"7","6","3",852,"OO","SFO","MRY",77,"N"
"9","20","3",728,"MQ","SAN","LAX",109,"N"
"2","6","7",950,"WN","SAN","SJC",417,"N"
"11","7","1",651,"F9","MCI","DEN",533,"N"
"8","11","5",906,"YV","PHX","OMA",1037,"N"
"3","16","3",1659,"DL","ATL","LAX",1946,"Y"
"2","1","3",920,"FL","ATL","EWR",745,"N"
"5","14","6",1942,"DL","DFW","ATL",732,"N"
"4","5","2",1725,"WN","OKC","PHX",833,"N"
"7","1","6",1452,"XE","ROC","EWR",246,"N"
"10","10","2",2024,"US","PHL","SFO",2521,"Y"
"9","16","5",1753,"CO","DTW","IAH",1076,"N"
"5","8","1",610,"WN","HOU","SAT",192,"N"
"3","13","7",620,"OO","PSC","SLC",521,"N"
"10","9","7",1105,"WN","TPA","MDW",997,"N"
"7","5","2",2049,"EV","FWA","ATL",508,"Y"
"8","23","3",941,"FL","ATL","LAX",1946,"Y"
"11","24","4",1231,"NW","IAD","DTW",383,"N"
"8","1","2",917,"US","CLT","MYR",156,"N"
"8","19","6",1810,"EV","ATL","SHV",552,"N"
"8","26","6",1357,"WN","STL","OMA",342,"N"
"11","26","6",532,"DL","TPA","ATL",406,"N"
"7","27","4",1937,"XE","IAH","DSM",802,"N"
"4","11","2",915,"YV","TUS","LAS",365,"N"
"6","20","2",1357,"WN","MCO","PHL",861,"N"
"1","15","6",1909,"UA","BOS","IAD",413,"N"
"12","28","3",1045,"OO","DEN","SGF",637,"Y"
"6","3","5",1410,"OH","GSP","LGA",610,"N"
"10","8","6",835,"UA","LAS","IAD",2066,"N"
"3","3","5",1423,"AA","JAC","ORD",1162,"N"
"9","2","5",1638,"OO","SAN","LAX",109,"N"
"3","14","1",735,"NW","ATL","MEM",332,"N"
"6","7","2",600,"AS","SIT","JNU",95,"N"
"5","22","1",1754,"WN","BWI","SDF",495,"Y"
"10","6","4",709,"DL","LIT","ATL",453,"N"
"7","20","4",753,"DL","SEA","JFK",2421,"N"
"3","8","2",1200,"EV","PDX","SLC",630,"N"
"11","20","7",838,"OO","LAX","OXR",49,"N"
"12","1","5",1743,"MQ","EVV","ORD",273,"Y"
"10","26","4",1858,"US","SNA","LAS",226,"N"
"10","7","6",1742,"OO","CLE","DEN",1201,"N"
"5","24","2",1800,"NW","GRB","DTW",288,"N"
"4","21","4",1645,"WN","HOU","SAT",192,"N"
"4","5","3",1034,"AA","PHL","ORD",678,"N"
"9","8","4",645,"WN","MCO","BWI",787,"N"
"4","13","4",1601,"CO","IAH","MCO",853,"N"
"8","17","3",2134,"FL","ATL","DCA",547,"Y"
"5","16","1",1250,"EV","ATL","PFN",247,"Y"
"7","23","7",1725,"AQ","ITO","HNL",216,"N"
"3","8","2",908,"OH","CVG","RDU",390,"N"
"12","18","7",850,"WN","OAK","SNA",371,"N"
"1","11","3",1719,"OO","BIL","SLC",387,"N"
"3","23","4",1325,"EV","XNA","ATL",589,"Y"
"8","31","3",558,"CO","AUS","IAH",140,"N"
"12","8","4",1836,"NW","MSN","DTW",312,"Y"
"11","3","5",2030,"CO","LGA","IAH",1416,"Y"
"12","9","5",1040,"FL","LAS","ATL",1747,"Y"
"10","27","5",1710,"UA","ORD","BOS",867,"N"
"10","4","3",1714,"DL","ATL","DFW",732,"Y"
"3","6","1",2039,"OH","CVG","BGR",906,"N"
"10","26","3",1742,"AA","DFW","SFO",1464,"N"
"4","15","5",1727,"FL","ATL","PNS",272,"N"
"11","7","2",1954,"US","CLT","ABE",481,"N"
"8","13","6",1350,"WN","SAN","BNA",1751,"Y"
"2","23","3",1958,"DL","MOB","ATL",302,"N"
"11","11","6",1644,"OH","RDU","JFK",426,"N"
"6","8","4",2130,"XE","CLT","CLE",430,"Y"
"4","28","4",853,"UA","SFO","PHL",2521,"N"
"2","23","4",2010,"YV","LGA","IAD",229,"N"
"11","1","3",1445,"CO","IAH","DFW",224,"N"
"3","28","2",1530,"WN","ONT","OAK",361,"N"
"10","24","1",1018,"HP","PHX","SNA",338,"N"
"4","2","7",1345,"NW","MSP","ORD",334,"Y"
"8","3","3",1428,"FL","ATL","JAX",270,"N"
"8","13","6",1656,"OH","BGR","CVG",906,"N"
"6","24","5",1548,"NW","CMH","DTW",155,"Y"
"9","19","1",615,"AA","BWI","MIA",946,"N"
"12","23","6",1101,"MQ","XNA","DFW",281,"Y"
"4","19","2",841,"AA","MIA","DFW",1121,"N"
"3","1","2",727,"NW","STL","MEM",256,"N"
"4","13","3",2102,"TZ","MDW","DFW",797,"N"
"5","28","7",2219,"NW","DTW","FNT",56,"N"
"3","23","4",2033,"DL","TPA","ATL",406,"Y"
"10","25","3",801,"UA","SFO","LAX",337,"N"
"5","3","3",1333,"OO","PSC","SLC",521,"N"
"6","21","3",950,"AA","TPA","MIA",204,"N"
"1","15","7",555,"EV","ROC","ATL",749,"N"
"4","14","5",1620,"DL","PBI","ATL",545,"N"
"8","8","2",905,"OH","CVG","AUS",958,"Y"
"7","24","1",1735,"CO","EWR","SAN",2425,"N"
"12","24","7",1200,"EV","LFT","ATL",503,"Y"
"11","17","4",1735,"UA","DEN","OAK",957,"N"
"8","26","5",1803,"OO","IDA","SLC",188,"N"
"10","9","7",606,"AA","MSP","DFW",852,"N"
"1","4","2",1712,"NW","IAH","MSP",1034,"N"
"5","1","7",1715,"XE","AEX","IAH",190,"Y"
